General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
"Bahamas, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.2,15.3,17.9,19.7,20.9,21,20.7,21.5,20.8,19.8,19.2,18.5,19.4,20.8,21.6,23,23.2,23.5,25.3,30.1,33.9,35.3,37.6,44.4,48.2,50.6,51.6,54.9,62.4,60.3,75.3,100,88.9,84.2,83.7,82.9,82.3,81.8,81.2
Bahrain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.5,7,6.7,6.2,5.9,14.2,13.7,15.4,20.8,25.7,25.7,26.1,28.4,32.5,29.4,24.2,20.3,16.3,12.6,21.4,30,32.8,36.2,43.9,44.4,66.2,81.3,88.1,94.6,101.6,130.1,127.1,117.6,121.2,119,120.9,123.7,127,130.7
Bangladesh,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37,36.6,35.6,35.3,35,33.9,33,29.6,29.4,29.1,28.3,28.7,28.2,27.7,28.3,29.6,32,34.5,35.6,37.9,39.4,39.7,39.9,40.5,41.2,41.9
Barbados,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.9,57.9,58.5,58.5,53.9,53.8,61.3,67.5,71,70.9,70.5,73.3,75.8,77.4,83.4,100,108.2,112.6,123.7,135.2,139.2,146.8,149.4,158.1,125.6,119,148.8,135.1,122.5,115,107.5,100.5,94.8,89.4,85
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.2,8.1,12.3,15.8,20.3,32.5,36.8,58.2,36.9,36.9,38.8,53,53.5,53.2,47.5,41,47.5,41.2,41.3,44.1,44.2,43.3,41.5,39.2,36.8
Belgium,76.8,89.7,99.6,110.3,114.6,119.4,124.7,129.2,129.7,126.4,130.3,131.8,134.7,138.9,137.1,131.3,129,124.3,119.2,115.4,109.6,108.2,105.4,101.7,97.2,95.1,91.5,87.3,93.2,100.2,100.3,103.5,104.8,105.5,107,105.2,105,102,99.9,97.6,112,109.1,105.1,106,106.8,108.5,110.9,113.5,115.9
Belize,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,49.9,53.7,67.7,71.2,73.4,71.8,66.8,65,70,68.8,66.7,63.6,63,61.6,64.5,69.9,77.4,78.1,77.5,101.4,80.1,63.4,59.3,57.3,55.7,54.2,52.8,51.3
Benin,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.6,39.4,39.6,38,30.8,23.4,21.5,27,8.4,14.3,18.3,18.7,21,21.9,19.5,18.5,22.3,30.9,35.9,39.6,41.1,41.2,46.1,50.3,54.2,53,52.4,51.4,50.5,49.7,49
Bhutan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.2,57.6,42,39.9,35.7,39.4,42.5,47.7,56.7,62.5,74.7,82,85.1,87.3,72.3,65,65.7,61,69.1,79.3,102.3,98.8,98.6,117.3,111.7,113.4,106.5,122.8,132.4,127.3,123.4,122.8,121.3,117.3,116.6,116.8
Bolivia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.9,60,69.1,74.1,89.8,82.2,54.4,40,36.8,39.2,37.6,35.3,35.4,36.1,37.6,40.9,46.5,51.3,53.1,59.3,78,81.4,80,80.8,81.4,82.1,82.1,81.6,80.9
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.4,56,34.7,35.2,31.2,27.6,25.5,25.5,21.2,18.7,30.9,35.1,40.8,39.6,42.2,42.5,45.9,45,43.5,37.4,33.8,32.1,36,34.6,29.7,28.6,28.2,28.1,28.5,29,29.1
Botswana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.3,9.3,8.2,7.5,8.4,7.1,10.7,7.5,6.1,5.9,7.8,18.4,20.8,20.9,20,18.3,18.4,18.2,16.4,14.5,14.9,16.5,18.7,18.7,18,18.7,18.1,17,16.6,16.6,16.5
Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.2,67.3,76.1,71.5,68,67,64.6,63,61.4,64.7,62.4,60.6,61.6,59.6,61.6,71.7,77.4,82.7,84.8,87.1,96,90.1,85.3,88.1,90.3,92.4,93.9,95,96
Brunei Darussalam,no data,no data,no data,no data,no data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.9,1.1,1.1,2.1,2.1,2.2,3.2,3,3,2.8,2.6,2.6,2.9,2.5,2.1,2.3,2.2,2.1,2.1,2,1.9
Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.3,78.7,73.3,67.1,53.4,45.4,37.8,28.5,22.6,17.6,14.7,14.5,14.1,14.3,16.5,17.2,26.3,25.4,27,22.9,20.1,18.3,23.2,22.5,21.8,21,22.9,25.2,26.8,28.2,29.5
Burkina Faso,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.3,39.7,40.7,39.2,20.1,22.4,24.9,25.9,23.7,24.5,25.2,25.9,26.1,31.3,32.9,33.7,38.2,41.5,43.3,55.4,58.3,61.2,61.2,61.4,60.9,60,58.8
Burundi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,136.4,127.4,159.1,172,172.7,137,130.3,129.6,102.5,25.7,46.9,42.7,41.4,37.9,38,39.9,46.1,46.9,53,60,66,66.6,68.4,72.7,65.8,61.3,56.6,52.2,48
Cabo Verde,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,89.5,82.2,70,82.6,79.9,82.5,76.7,79.8,83.1,76.2,59.6,57.5,58.8,66.2,71.6,82.9,93.5,105.6,115.6,115.4,112.8,112,110,144.6,147.6,127.3,113.1,109.7,105.5,101.4,95.9,90.6
Cambodia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30.2,31.6,37.2,34.7,35.2,34.9,39.7,43.1,42.7,35.6,30.7,29.4,27,28.5,28.7,29.7,31.5,31.7,31.9,31.2,28.9,30,28.4,28.2,34.4,35.9,34.8,35.3,35.5,35,35.3,35.5,36.2
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.8,68.4,75.9,62.2,56.6,51.5,51.7,43.8,18.4,13.8,11.2,11.3,14,15,14.9,17.5,20.7,31.6,32.1,36.5,38.3,41.6,44.9,46.8,45.5,41.9,39.6,37.2,35.7,34.6,33.5
Canada,44.6,46.1,51.7,57.2,60.2,65.2,69.3,69.8,69.7,71,73.7,81.7,88.2,94.7,97.5,100.1,100.2,95.3,93.3,89,80.4,81.5,79.6,75.9,71.9,70.6,69.9,67.2,70.4,81.9,84,84.3,87.2,87.6,85.5,92,92.4,90.9,90.8,90.2,118.9,115.1,107.4,106.4,103.3,100.6,98.6,96.6,94.7
Central African Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,96.1,85.3,84.2,94.7,103.1,98.5,95.9,99.7,103,46.7,47.9,35.8,20.3,19.9,19.7,31.5,51.8,62.2,59.8,53.9,50.3,50,47.1,43.4,47.6,51.8,50.1,49.6,48.1,44.9,42.4,40.1
Chad,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58,68,56.4,54.4,44.7,32.6,28.5,26.2,22.1,20.1,31.5,30.1,30.6,28.8,30.6,38.2,42.5,50,48.7,46.2,51.6,55.9,57.4,48.8,43.2,38.7,34.9,32.7,31.2,30
Chile,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.1,30.5,28.1,22.6,17.3,14.6,12.8,12.1,13.3,13.1,14.3,15,12.6,10.3,7,5,3.9,4.9,5.8,8.6,11.1,11.9,12.8,15,17.4,21.1,23.7,25.8,28.3,32.4,36.3,38,38.4,41.2,42.3,42.6,42.3,42.1
"China, People's Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.6,21.4,20.6,20.7,21.9,23,24.6,25.9,26.8,26.4,26.3,25.6,29.2,27.2,34.6,33.9,33.8,34.4,37,40,41.5,50.7,55,56.7,60.4,70.1,71.8,77,83,87.4,91.8,95.9,100.1,104.3
Colombia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.3,25.3,27.5,34,38,41.1,47.5,45,41.5,38.5,36,32.7,32.4,35.4,36.5,35.8,34,37.6,43.3,50.4,49.8,49.4,53.6,52.4,65.7,64,60.4,55,55.1,55.4,54.8,53.9,53.2
Comoros,no data,no data,no data,no data,151.3,143.8,137.4,129.4,120.3,113.9,108.4,104.1,101.2,95.9,88,77.9,75.5,71.1,69.5,64.6,60.8,53,48.2,44.5,42.4,39.9,38.5,35.6,33.2,31.7,30.5,27.7,25.1,10.3,11.8,14.3,16.2,18.8,16.9,21.1,24,25.5,27.9,33.3,36.9,38.2,37.8,37.2,36.9
"Congo, Dem. Rep. of the",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,135,181.6,136,114.5,141.8,96.3,96.3,76.6,75.8,90.6,29.5,24.4,21.3,17.9,15.7,16,18.8,18.5,14.8,14.8,16.5,15.9,14.5,13.3,11.1,9.1,7.5,6.1,4.8
"Congo, Republic of ",no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0,0,0,0,0,0,0,0,0,0,145,180.1,163.5,185.3,122.6,99.8,94.7,93.8,69.6,83.8,43.5,34.4,30.2,33.9,42.3,74.2,84.6,88.5,71.2,77.6,102.5,97.8,92.5,97.8,91,87.3,83.1,78.3,72.3
Costa Rica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.7,30.6,40.7,39,38.9,39.6,41.4,40.6,41,37.3,33,27,24,26,28.1,29.5,33.7,35.1,37.4,39.8,44.1,47.1,51.8,56.4,66.9,68,63.8,63,61.8,60.9,59.9,58.7,57.4
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.3,30,35.4,36.6,36.4,37.8,39.9,40.9,38.4,37.2,39,48.2,57.1,63.4,69.2,80.1,83.8,83.2,79.7,76.5,73.2,71,86.9,78.3,68.8,63.8,61.8,60.3,58.5,56.9,55.2
Cyprus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,46.7,48.8,53.5,55,55.7,56,57.5,61,63,64.7,64,59,53.1,44.1,52.8,55.3,64.8,79.2,102.7,108.8,106.8,102.6,92.6,98.1,90.4,113.5,101,86.5,78.6,70.9,66.8,61.7,58.4,55.1
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.6,11.6,12.2,14,15.2,17,22.7,25.8,28.2,28.4,27.7,27.6,27.3,28.1,33.4,37.1,39.7,44.2,44.4,41.9,39.7,36.6,34.2,32.1,30,37.7,42,44.2,45.4,44.4,44.1,43.8,43.4,42.9
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,84.2,75.2,78,74,71.2,63,56.4,56.7,58.2,57.5,53.5,51.2,46.5,45.6,50,24.7,24.6,26.7,29.2,31.1,32.6,35.3,37.5,46.3,50.9,56.8,56.8,57,56.1,55.3,54.7,54
Denmark,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.8,78.6,75.2,71.4,68.3,64.3,60.3,56.8,52.4,48.5,49.1,46.2,44.2,37.4,31.5,27.3,33.3,40.2,42.6,46.1,44.9,44,44.3,39.8,37.2,35.9,34,33.7,42.3,36,29.7,30.1,29,28.7,28.6,28.6,28.6
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.5,27.9,25.7,25,24.6,26.9,40.3,45.9,48,48.2,41.8,42.2,40.8,40.4,41.8,41.9,41.7,41.7,41.9,42
Dominica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.1,56.9,54,53.4,55.9,57.4,53.7,47.7,56.3,61.8,68.9,98.5,97.9,94.9,86.2,82,77.4,71.8,64.4,62.5,66.8,69.7,73.1,73.9,72.1,68.9,76.5,84,85.6,98.3,113.1,107.2,98.5,93.9,91,90,89.4,88.6,87.9
Dominican Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.8,13.2,16,16.7,20.4,21.5,48.2,34.3,38.3,36,32.9,33.6,36.7,37.3,39.1,42.3,46.7,44.9,44.7,46.6,48.9,50.5,53.6,71.5,63.2,59.5,59.8,59.4,58.4,57.4,56,54.4
Ecuador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,60.3,52.2,45.1,38.7,34.7,32.3,29,24.6,18.9,18.1,18.5,18.7,23.3,28,35.2,44.6,47,49.1,51.4,60.9,62.3,57.7,55.5,53.8,52.6,51,49.4,47.7
Egypt,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.8,72.4,71.7,79.1,85.8,97.1,96.5,98.3,85.9,76.3,66.8,69.5,69.6,72.8,69.9,79.8,80.9,83.8,91.6,97.8,87.9,80.1,86.2,89.9,88.5,92.7,88.1,83.9,81.5,78.9,76.4
El Salvador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.3,36.4,31.9,30.5,28,28.5,27.8,25.7,28,29.6,36.5,42.3,46,46.8,46.3,46.9,46.3,48.1,59.1,60,59.2,63.6,63.2,65.3,67,68.8,70.5,70.4,71.3,88.1,80.4,75.1,73,73.4,74.4,75.3,77.7,80.1
Equatorial Guinea,146.2,221.1,260.7,259.3,257.9,183.8,152.5,141.3,154.5,187,157,169.5,136.9,152.6,216,136.9,91.2,46.3,59.2,60.5,36.6,25.5,19.4,6.7,4.5,2.8,1.2,0.8,0.5,4.3,7.9,7.2,7.1,6.3,12.6,31.7,41.1,36.2,41.2,43.2,49.4,42.1,34.6,38.3,33.7,32.9,33.4,32.2,30.5
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,219.1,238.6,243.4,264,193.5,205.4,199,201.3,259.7,207.1,201.8,171.6,171.6,232.4,204.5,271.4,251.2,290.4,267.1,260.4,no data,no data,no data,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.7,7.3,6,5.4,5.9,5.1,4.8,5.7,5.6,5.1,4.7,4.6,3.8,4.5,7.2,6.7,6.2,9.8,10.2,10.6,10.1,10,9.1,8.2,8.5,18.6,17.8,18.5,21.6,24,25.9,27.5,29.1,30.5
Eswatini,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.5,12.7,12.1,11.2,12.3,15.2,16.2,17.7,21,16.7,17.2,14.6,13.2,14.2,15.7,14.2,10.3,13.8,14.2,14.4,14.7,13.9,19.3,24.9,27.6,33.9,39.5,41.2,40.8,42,42.4,41.9,43,44.3,45.7,46.5
Ethiopia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,87.9,141,155.2,146.6,132.8,80.3,89.3,97.8,93.6,97.3,107.4,103.7,103.1,78.2,67.5,39.3,32.3,30,39.4,44.8,39.3,44.1,44.2,50.7,53.1,55.2,58.4,55.8,53.9,53.8,46.4,37.9,31.2,28.9,29,29.6,29.6
Fiji,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.3,45.9,48.8,49.1,50.3,54.4,37.9,34.7,35.9,41.9,44.5,46.4,45.9,45.3,50.3,46.4,47.9,51.5,53.4,51,48.6,47.4,46.2,44.3,44.6,43.4,45.8,49,63.6,83.3,91,83.6,81.1,80.5,80.6,80.5,80.1
Finland,10.9,11.5,13.9,15.4,15.2,15.8,16.4,17.6,16.5,14.3,13.9,21.9,39.3,54.1,56.1,55.2,55.3,52.2,46.8,44,42.4,40.9,40.1,42.7,42.6,39.9,38,33.9,32.6,41.5,50.1,51.9,56.7,59.6,64.5,68.3,68,66,64.8,64.9,74.7,72.5,72.5,73.6,76.5,79,80.2,80.4,80.3
France,20.8,22,25.4,26.7,29.1,30.7,31.3,33.7,33.6,34.4,35.6,36.5,40.2,46.6,49.9,56.1,60,61.4,61.4,60.5,58.9,58.3,60.3,64.4,65.9,67.4,64.6,64.5,68.8,83,85.3,87.8,90.6,93.4,94.9,95.6,98,98.1,97.8,97.4,114.7,113,111.8,110,110.5,110.4,110.4,110.5,110.8
Gabon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,90,89.3,87.9,90.1,71.3,73.4,64.5,57,87.6,73.1,72.5,81,81.1,70.2,60.3,41.7,34.9,39.2,20.1,26,21.3,21.4,21.4,31.1,34.1,44.7,64.2,62.9,61.1,60,78.3,65.8,57.7,64.9,64.5,65.2,66.8,69.5,72.1
"Gambia, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.3,75.2,93.9,91.7,81.3,82.6,87.3,38,39.5,38.9,42.9,49.2,49.5,58.2,71.1,69.4,80.9,87,83.6,83,85.9,83.1,82.8,72.3,65.5,60.7,57,53.5,50.1
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58.5,53,50.3,54.6,44.3,35.3,28.3,22.5,26.3,33.6,31.9,28.4,28.8,29.5,30.9,36.7,40.3,39.4,38.9,40.4,60.2,49.7,39.8,39.6,39.3,38.7,38.1,37.8,37.2
Germany,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39,41.5,45.1,47.5,54.9,57.8,58.9,59.5,60.4,59.3,58.2,59.9,63.5,65.2,67.5,66.9,64.2,65.7,73.2,82,79.4,80.7,78.3,75.3,71.9,69,65.2,61.9,59.5,68.7,69,66.1,65.9,64,61.8,59.9,58.6,57.5
Ghana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.2,18.7,23.1,37.2,55.2,51.1,46,48.7,40.6,55.7,80.2,61.9,58,52.8,41.1,34,18.5,22.5,24.6,26.8,34.5,31.3,35.4,42.9,50.1,53.9,55.9,57,62,58.3,72.3,79.2,92.4,84.9,81.5,78.8,75.8,72.8,70
Greece,22.5,26.7,29.3,33.6,40.1,46.6,47.1,52.4,57.1,59.8,73.2,74.7,80,100.3,98.3,99,101.3,99.5,97.4,98.9,104.9,107.1,104.9,101.5,102.9,107.4,103.6,103.1,109.4,126.7,147.5,175.2,162.1,178.8,181.8,179.1,183.7,183.2,190.7,185.5,212.4,200.7,178.1,168,160.2,155.7,151.4,148.2,145.3
Grenada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,42,40.1,45.3,45.7,43.1,43.9,41.4,40.3,34.5,41.6,44.6,79.1,79.6,94.7,87.3,92.9,89.1,83.9,91.1,96.2,102.8,101.5,105.4,99.3,90.1,81.6,70.4,64,58.5,71.4,69.9,63.6,60.2,57.7,54.6,51.6,49,46.9
Guatemala,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18,19.1,17.4,19.8,20.6,20,20.9,20.8,19.6,22.8,24,23.8,24.6,25,24.7,24.8,25,25.1,26.4,26.4,31.5,30.8,29.2,28.3,27.9,28,28.1,28.2,28.3
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.6,70.9,62,68.9,71.3,66.5,67.7,67.9,75.9,92.3,91.5,90.4,82.6,81.6,86.9,97.9,95.2,60.8,58.5,61.3,68.9,58.1,27.2,34,35.2,44.4,43,41.9,39.3,38.6,47.8,41.5,33.1,31.6,31.5,31.6,29.9,29.6,29.2
Guinea-Bissau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.3,109.1,109.9,217.1,204.4,197.5,183.4,202,203.7,190.4,164,148.8,148.3,61.7,45.6,47.4,49.6,60.4,56.6,59.3,51.9,59.2,65.3,77.7,78.8,80.3,73.9,71.4,69,66.9,65.1,63.7
Guyana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,101.3,108,97.1,97.2,104.6,105.1,95.6,91.8,90.7,74.5,47,47.6,51.7,52.5,51.2,44.3,41.1,38.3,41.8,43.8,42.9,47,43.6,51.1,43.2,26,29.9,29,28.2,26.1,26.6,26.1
Haiti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,26.2,24,24.1,32.5,28.8,32,37.8,30.4,29.7,32.2,30.2,32.7,18.3,23.2,21.3,22.8,24.4,20.8,21.7,21.6,18.9,21.5,25.4,22,25.6,23.9,19.6,18.6,18.2,17.9,18,17.7
Honduras,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,236.5,135.4,123.2,111.7,85.5,65.4,64.6,70.8,67.4,75.8,65.8,63.4,64.2,67.8,60.9,55.6,39.2,24,22.3,23.7,28.8,31.5,32.3,41.9,42.8,42.3,40.3,43.6,43.5,43.8,51.7,49.8,49.1,46.3,46.6,46.5,47,46.2,45.9
Hong Kong SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.9,1.7,1.4,1.2,1,0.7,0.6,0.6,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.3,1,1.9,4.3,6.1,7,7.6,8.7,9.6,9.7
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,84.1,71.4,62.3,60.5,60.4,55.7,52.3,55.6,58.1,58.8,60.1,64.1,65.1,71.1,77.2,80,80.3,78.2,77.2,76.5,75.8,74.9,72.1,69.1,65.3,79.3,76.6,73.3,68.7,65.7,64.1,62.1,60.3,57.6
