id,name,nominal,pct
34239,Saint-André-de-Sangonis,23 ,0.3
34245,Saint-Chinian,113 ,2.1
34276,Saint-Mathieu-de-Tréviers,< 20,0.1
34284,Saint-Pons-de-Thomières,143 ,1.8
34299,Sérignan,21 ,0.1
34300,Servian,69 ,0.5
34301,Sète,64 ,0.1
34332,Vias,< 20,0.2
34344,Le Grau-du-Roi,< 20,0.1
35001,Acigné,20 ,0.2
35004,Val-Couesnon,76 ,1.1
35006,Argentré-du-Plessis,< 20,0.0
35012,Bain-de-Bretagne,24 ,0.1
35023,Bédée,< 20,0.0
35024,Betton,< 20,0.1
35049,Cancale,< 20,0.1
35068,Châteaubourg,< 20,0.0
35069,Châteaugiron,< 20,0.1
35085,Combourg,83 ,0.5
35093,Dinard,89 ,0.2
35095,Dol-de-Bretagne,102 ,0.3
35115,Fougères,38 ,0.1
35125,La Guerche-de-Bretagne,84 ,0.5
35126,Guichen,< 20,0.1
35129,Guipry,< 20,0.2
35136,Janzé,< 20,0.1
35152,Liffré,33 ,0.1
35162,Louvigné-du-Désert,272 ,2.5
35168,Maure-de-Bretagne,< 20,0.2
35184,Montauban-de-Bretagne,61 ,0.3
35188,Montfort-sur-Meu,< 20,0.0
35196,Mordelles,< 20,0.0
35219,Pipriac,< 20,0.2
35223,Plélan-le-Grand,< 20,0.1
35236,Redon,196 ,0.5
35238,Rennes,360 ,0.1
35239,Retiers,53 ,0.4
35240,Le Rheu,< 20,0.1
35253,Saint-Aubin-du-Cormier,< 20,0.1
35257,Saint-Brice-en-Coglès,45 ,0.4
35288,Saint-Malo,63 ,0.1
35297,Saint-Méen-le-Grand,47 ,0.4
35337,Tinténiac,66 ,0.4
35352,Vern-sur-Seiche,< 20,0.0
35360,Vitré,25 ,0.1
36001,Aigurande,155 ,3.0
36006,Argenton-sur-Creuse,328 ,1.1
36018,Le Blanc,151 ,0.9
36031,Buzançais,51 ,0.3
36034,Chabris,< 20,0.2
36044,Châteauroux,34 ,0.0
36045,Châtillon-sur-Indre,42 ,0.5
36046,La Châtre,112 ,0.5
36088,Issoudun,30 ,0.1
36093,Levroux,22 ,0.3
36228,Valençay,45 ,0.6
37014,Azay-le-Rideau,< 20,0.1
37022,Beaumont-en-Véron,< 20,0.1
37031,Bourgueil,74 ,0.4
37063,Château-Renault,< 20,0.1
37072,Chinon,37 ,0.3
37104,Esvres,26 ,0.2
37115,Descartes,72 ,0.4
37119,L'Île-Bouchard,< 20,0.2
37123,Langeais,28 ,0.1
37130,Ligueil,70 ,0.9
37132,Loches,58 ,0.3
37159,Monts,< 20,0.0
37167,Neuillé-Pont-Pierre,< 20,0.1
37196,Richelieu,92 ,1.1
37226,Sainte-Maure-de-Touraine,< 20,0.1
37261,Tours,304 ,0.1
38001,Les Abrets,21 ,0.1
38006,Allevard,23 ,0.1
38012,Aoste,< 20,0.1
38013,Apprieu - Le Grand-Lemps,23 ,0.1
38022,Les Avenières Veyrins-Thuellin,< 20,0.1
38034,Beaurepaire,< 20,0.0
38052,Le Bourg-d'Oisans,134 ,1.3
38053,Bourgoin-Jallieu,44 ,0.1
38085,Charvieu-Chavagneux,< 20,0.0
38130,La Côte-Saint-André,< 20,0.1
38138,Crémieu,36 ,0.2
38140,Crolles,34 ,0.3
38185,Grenoble,696 ,0.1
38189,Heyrieux,< 20,0.1
38226,Mens,s,s
38247,Montalieu-Vercieu,< 20,0.1
38261,Morestel,22 ,0.1
38269,La Mure,< 20,0.1
38314,Pontcharra,22 ,0.1
38315,Le Pont-de-Beauvoisin,46 ,0.2
38384,Saint-Étienne-de-Saint-Geoirs,< 20,0.1
38399,Saint-Jean-de-Bournay,< 20,0.0
38412,Saint-Laurent-du-Pont,< 20,0.1
38416,Saint-Marcellin,40 ,0.1
38509,La Tour-du-Pin,< 20,0.0
38511,Le Touvet,54 ,0.2
38517,Tullins,21 ,0.2
38544,Vienne,47 ,0.0
38545,Vif,26 ,0.1
38548,Villard-de-Lans,< 20,0.1
38553,Villefontaine,< 20,0.0
38562,Vizille,81 ,0.3
39013,Arbois,< 20,0.0
39056,Bletterans,< 20,0.1
39097,Champagnole,< 20,0.1
39128,Chaussin,< 20,0.0
39154,Clairvaux-les-Lacs,< 20,0.2
39198,Dole,< 20,0.0
39300,Lons-le-Saunier,23 ,0.0
39368,Morez,< 20,0.1
39434,Poligny,< 20,0.1
39470,Les Rousses,s,s
39475,Saint-Amour,27 ,0.1
39478,Saint-Claude,20 ,0.1
39487,Saint-Laurent-en-Grandvaux,< 20,0.1
39500,Salins-les-Bains,< 20,0.1
39526,Tavaux,< 20,0.0
40001,Aire-sur-l'Adour,62 ,0.4
40046,Biscarrosse,37 ,0.2
40065,Capbreton,40 ,0.3
40088,Dax,49 ,0.1
40119,Hagetmau,47 ,0.3
40133,Labenne,31 ,0.4
40134,Labouheyre,< 20,0.1
40184,Mimizan,72 ,0.4
40192,Mont-de-Marsan,34 ,0.1
40194,Montfort-en-Chalosse,< 20,0.1
40197,Morcenx-la-Nouvelle,< 20,0.1
40201,Mugron,< 20,0.2
40217,Parentis-en-Born,< 20,0.2
40224,Peyrehorade,39 ,0.2
40233,Pouillon,27 ,0.3
40245,Roquefort,23 ,0.3
40282,Saint-Sever,< 20,0.1
40284,Saint-Vincent-de-Tyrosse,81 ,0.3
40310,Soustons,70 ,0.4
40313,Tartas,< 20,0.1
40331,Villeneuve-de-Marsan,< 20,0.2
41018,Blois,46 ,0.0
41025,Bracieux,< 20,0.0
41059,Le Controis-en-Sologne,< 20,0.1
41106,Lamotte-Beuvron,< 20,0.0
