Date,Adj Close,Close,High,Low,Open,Midmarket_Rate
2017-01-17,0.009791,0.009791,0.009832,0.009749,0.009802,0.009791
2017-01-18,0.009802,0.009802,0.009827,0.009746,0.009792,0.009786
2017-01-19,0.009812,0.009812,0.009836,0.009768,0.009802,0.009802
2017-01-20,0.009798,0.009798,0.009838,0.009767,0.009811,0.009802
2017-01-23,0.0098,0.0098,0.00984,0.009624,0.00984,0.009732
2017-01-24,0.0098,0.0098,0.009827,0.009745,0.009803,0.009786
2017-01-25,0.009799,0.009799,0.009827,0.009748,0.0098,0.009788
2017-01-26,0.009791,0.009791,0.009825,0.009709,0.0098,0.009767
2017-01-27,0.009792,0.009792,0.009822,0.009741,0.009793,0.009782
2017-01-30,0.009791,0.009791,0.009834,0.009732,0.009817,0.009783
2017-01-31,0.009811,0.009811,0.009837,0.009768,0.00979,0.009802
2017-02-01,0.0098,0.0098,0.009836,0.009629,0.009811,0.009733
2017-02-02,0.0098,0.0098,0.009841,0.009629,0.009799,0.009735
2017-02-03,0.0098,0.0098,0.009846,0.009726,0.009726,0.009786
2017-02-06,0.009814,0.009814,0.009851,0.009787,0.009818,0.009819
2017-02-07,0.00982,0.00982,0.009852,0.00978,0.009812,0.009816
2017-02-08,0.009821,0.009821,0.009853,0.009642,0.00982,0.009748
2017-02-09,0.00984,0.00984,0.009865,0.009768,0.00982,0.009816
2017-02-10,0.009791,0.009791,0.009865,0.009785,0.009841,0.009825
2017-02-13,0.009821,0.009821,0.009854,0.009743,0.009825,0.009798
2017-02-14,0.009823,0.009823,0.009855,0.009783,0.009822,0.009819
2017-02-15,0.009831,0.009831,0.009856,0.009788,0.009822,0.009822
2017-02-16,0.009821,0.009821,0.009856,0.009648,0.009832,0.009752
2017-02-17,0.009837,0.009837,0.00986,0.009763,0.00982,0.009811
2017-02-20,0.009837,0.009837,0.009865,0.009804,0.00984,0.009834
2017-02-21,0.009833,0.009833,0.009863,0.009664,0.009837,0.009763
2017-02-22,0.009832,0.009832,0.009862,0.009793,0.009832,0.009828
2017-02-23,0.009832,0.009832,0.009869,0.0098,0.009833,0.009835
2017-02-24,0.009832,0.009832,0.009875,0.009813,0.009832,0.009844
2017-02-27,0.009856,0.009856,0.009883,0.009671,0.00984,0.009777
2017-02-28,0.0099,0.0099,0.009928,0.00985,0.009856,0.009889
2017-03-01,0.009917,0.009917,0.009937,0.009856,0.009901,0.009897
2017-03-02,0.009902,0.009902,0.009932,0.009861,0.009917,0.009897
2017-03-03,0.009929,0.009929,0.009952,0.009883,0.009901,0.009918
2017-03-06,0.009925,0.009925,0.009947,0.009747,0.009751,0.009847
2017-03-07,0.00993,0.00993,0.00996,0.009923,0.009925,0.009941
2017-03-08,0.00993,0.00993,0.009967,0.009751,0.00993,0.009859
2017-03-09,0.009929,0.009929,0.009962,0.009918,0.00993,0.00994
2017-03-10,0.009932,0.009932,0.009957,0.009886,0.00993,0.009921
2017-03-13,0.009924,0.009924,0.009977,0.009747,0.009938,0.009862
2017-03-14,0.009919,0.009919,0.009942,0.009875,0.009924,0.009908
2017-03-15,0.009907,0.009907,0.00993,0.009869,0.00992,0.009899
2017-03-16,0.009887,0.009887,0.009915,0.009843,0.009906,0.009879
2017-03-17,0.009882,0.009882,0.009913,0.009836,0.009887,0.009874
2017-03-20,0.009865,0.009865,0.009917,0.009704,0.009895,0.00981
2017-03-21,0.009877,0.009877,0.009908,0.009833,0.009868,0.009871
2017-03-22,0.009896,0.009896,0.009932,0.009723,0.009877,0.009828
2017-03-23,0.009887,0.009887,0.009928,0.009851,0.009896,0.00989
2017-03-24,0.009855,0.009855,0.009928,0.009723,0.009887,0.009825
2017-03-27,0.009905,0.009905,0.00996,0.009737,0.009938,0.009849
2017-03-28,0.009887,0.009887,0.009928,0.009824,0.009906,0.009876
2017-03-29,0.009878,0.009878,0.009913,0.009852,0.009885,0.009882
2017-03-30,0.009888,0.009888,0.009918,0.009849,0.009878,0.009883
2017-03-31,0.009845,0.009845,0.00993,0.009695,0.009888,0.009812
2017-04-03,0.009866,0.009866,0.009913,0.009828,0.009878,0.009871
2017-04-04,0.009869,0.009869,0.009894,0.009695,0.009869,0.009794
2017-04-05,0.00987,0.00987,0.009896,0.00981,0.00987,0.009853
2017-04-06,0.00985,0.00985,0.009889,0.009797,0.009868,0.009843
2017-04-07,0.009853,0.009853,0.009884,0.009671,0.009851,0.009778
2017-04-10,0.009851,0.009851,0.009877,0.009804,0.009843,0.00984
2017-04-11,0.009843,0.009843,0.009875,0.009676,0.00985,0.009775
2017-04-12,0.00985,0.00985,0.009879,0.009803,0.009843,0.009841
2017-04-13,0.009852,0.009852,0.009884,0.009643,0.009849,0.009764
2017-04-14,0.009781,0.009781,0.009853,0.009676,0.009853,0.009765
2017-04-17,0.009812,0.009812,0.009863,0.009676,0.009848,0.009769
2017-04-18,0.009848,0.009848,0.009879,0.009671,0.009879,0.009775
2017-04-19,0.009849,0.009849,0.009877,0.009807,0.009847,0.009842
2017-04-20,0.009848,0.009848,0.009879,0.00981,0.009851,0.009845
2017-04-21,0.009842,0.009842,0.009885,0.009821,0.009848,0.009853
2017-04-24,0.009859,0.009859,0.009986,0.009685,0.009986,0.009836
2017-04-25,0.009858,0.009858,0.009894,0.009823,0.00986,0.009858
2017-04-26,0.009858,0.009858,0.00989,0.009828,0.009861,0.009859
2017-04-27,0.009858,0.009858,0.009896,0.009823,0.009859,0.00986
2017-04-28,0.009863,0.009863,0.00991,0.009827,0.009861,0.009869
2017-05-01,0.009857,0.009857,0.009894,0.009687,0.009873,0.00979
2017-05-02,0.00987,0.00987,0.00991,0.009718,0.009857,0.009814
2017-05-03,0.009879,0.009879,0.009905,0.009723,0.009872,0.009814
2017-05-04,0.009878,0.009878,0.009906,0.009704,0.009878,0.009805
2017-05-05,0.009874,0.009874,0.009903,0.009839,0.009878,0.009871
2017-05-08,0.00987,0.00987,0.009899,0.009704,0.009704,0.009801
2017-05-09,0.009871,0.009871,0.009898,0.009821,0.00987,0.00986
2017-05-10,0.009871,0.009871,0.009894,0.00969,0.00987,0.009792
2017-05-11,0.009872,0.009872,0.009889,0.009837,0.00987,0.009863
2017-05-12,0.009864,0.009864,0.009899,0.009816,0.009868,0.009857
2017-05-15,0.009869,0.009869,0.009899,0.009695,0.009863,0.009797
2017-05-16,0.009866,0.009866,0.009889,0.009823,0.009869,0.009856
2017-05-17,0.009843,0.009843,0.009894,0.009676,0.009848,0.009785
2017-05-18,0.009847,0.009847,0.009894,0.009805,0.00984,0.009849
2017-05-19,0.009685,0.009685,0.009887,0.009685,0.009846,0.009786
2017-05-22,0.00985,0.00985,0.009892,0.009685,0.009847,0.009788
2017-05-23,0.00985,0.00985,0.009889,0.009805,0.009849,0.009847
2017-05-24,0.009851,0.009851,0.009886,0.009676,0.009848,0.009781
2017-05-25,0.009851,0.009851,0.009885,0.00969,0.009849,0.009788
2017-05-26,0.009853,0.009853,0.009887,0.009802,0.009851,0.009844
2017-05-29,0.009853,0.009853,0.009884,0.009681,0.009848,0.009782
2017-05-30,0.009851,0.009851,0.00988,0.009798,0.009852,0.009839
2017-05-31,0.009847,0.009847,0.009884,0.009803,0.009851,0.009844
2017-06-01,0.00985,0.00985,0.009884,0.009808,0.009845,0.009846
2017-06-02,0.00984,0.00984,0.009889,0.009812,0.009848,0.00985
2017-06-05,0.009845,0.009845,0.00986,0.009676,0.009676,0.009768
2017-06-06,0.009845,0.009845,0.00985,0.009796,0.009845,0.009823
2017-06-07,0.009844,0.009844,0.00985,0.009835,0.009843,0.009843
2017-06-08,0.009848,0.009848,0.00986,0.009816,0.009843,0.009838
2017-06-09,0.009841,0.009841,0.009856,0.00969,0.009842,0.009773
2017-06-12,0.009846,0.009846,0.009854,0.009818,0.009844,0.009836
2017-06-13,0.009851,0.009851,0.009852,0.009676,0.009845,0.009764
2017-06-14,0.009842,0.009842,0.009852,0.009807,0.009852,0.00983
2017-06-15,0.009837,0.009837,0.009847,0.00978,0.009843,0.009814
2017-06-16,0.009827,0.009827,0.009847,0.009781,0.009841,0.009814
2017-06-19,0.009837,0.009837,0.009847,0.009648,0.009834,0.009748
2017-06-20,0.009837,0.009837,0.009862,0.009657,0.009837,0.00976
2017-06-21,0.009836,0.009836,0.009856,0.009784,0.009839,0.00982
2017-06-22,0.009822,0.009822,0.009864,0.009783,0.009839,0.009823
2017-06-23,0.009813,0.009813,0.009856,0.009657,0.009822,0.009756
2017-06-26,0.009813,0.009813,0.009856,0.009776,0.009816,0.009816
2017-06-27,0.00981,0.00981,0.009853,0.00979,0.009813,0.009821
2017-06-28,0.009814,0.009814,0.009849,0.009648,0.009809,0.009749
2017-06-29,0.009815,0.009815,0.009849,0.009772,0.00981,0.009811
2017-06-30,0.009781,0.009781,0.009856,0.009765,0.009812,0.00981
2017-07-03,0.009815,0.009815,0.009851,0.009653,0.009812,0.009752
2017-07-04,0.00981,0.00981,0.00984,0.009762,0.009814,0.009801
2017-07-05,0.009811,0.009811,0.009841,0.009764,0.009812,0.009802
2017-07-06,0.009805,0.009805,0.009846,0.009781,0.009809,0.009813
2017-07-07,0.00979,0.00979,0.009841,0.009757,0.009801,0.009799
2017-07-10,0.009806,0.009806,0.009832,0.009753,0.009792,0.009793
2017-07-11,0.009804,0.009804,0.009825,0.009735,0.009804,0.00978
2017-07-12,0.009806,0.009806,0.009832,0.009761,0.009805,0.009796
2017-07-13,0.009805,0.009805,0.009832,0.009734,0.009804,0.009783
2017-07-14,0.009779,0.009779,0.009832,0.009752,0.009805,0.009792
2017-07-17,0.009803,0.009803,0.009832,0.009748,0.009782,0.00979
2017-07-18,0.009803,0.009803,0.009827,0.009746,0.009803,0.009786
2017-07-19,0.009803,0.009803,0.009827,0.009619,0.009801,0.009723
2017-07-20,0.009782,0.009782,0.009834,0.009629,0.009802,0.009732
2017-07-21,0.009796,0.009796,0.009836,0.009754,0.009781,0.009795
2017-07-24,0.009782,0.009782,0.009832,0.009744,0.009811,0.009788
2017-07-25,0.009782,0.009782,0.009832,0.00975,0.009782,0.009791
2017-07-26,0.00979,0.00979,0.009832,0.009756,0.009782,0.009794
2017-07-27,0.009787,0.009787,0.009829,0.009722,0.00979,0.009776
2017-07-28,0.009779,0.009779,0.009827,0.009748,0.00979,0.009788
2017-07-31,0.009784,0.009784,0.009829,0.00962,0.009777,0.009725
