,COU,Reporting country,MEASURE,Currency,MEASURE_PRINCIPLE,Measurement principle,FDI_TYPE,Type of FDI,TYPE_ENTITY,Type of entity,ACCOUNTING_ENTRY,Accounting entry,LEVEL_COUNTERPART,Level of counterpart,COUNTERPART_AREA,Partner country/territory,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
13217,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MSR,Montserrat,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
13300,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),JOR,Jordan,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
13310,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BRN,Brunei Darussalam,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
13350,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),ATF,French Southern Territories,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
13353,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),WLF,Wallis and Futuna,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
13354,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GGY,Guernsey,2021,2021,USD,US Dollar,6,Millions,,,29183.490371389,,
13389,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MLT,Malta,2021,2021,USD,US Dollar,6,Millions,,,1795.8614071527,,
13597,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),LIE,Liechtenstein,2021,2021,USD,US Dollar,6,Millions,,,5076.8468129298,,
13643,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),KOR,"Korea, Republic of (South Korea)",2021,2021,USD,US Dollar,6,Millions,,,2758.639957359,,
13700,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),THA,Thailand,2021,2021,USD,US Dollar,6,Millions,,,556.10042022008,,
13849,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BRA,Brazil,2021,2021,USD,US Dollar,6,Millions,,,1217.5909229711,,
13887,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),NPL,Nepal,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
13937,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),NGA,Nigeria,2021,2021,USD,US Dollar,6,Millions,,,637.33986822558,,
13973,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GAB,Gabon,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
13984,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),COG,Congo,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
14200,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),FIN,Finland,2021,2021,USD,US Dollar,6,Millions,,,1842.9711636864,,
14204,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),NLD,Netherlands,2021,2021,USD,US Dollar,6,Millions,,,174215.44250344,,
14206,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),PAN,Panama,2021,2021,USD,US Dollar,6,Millions,,,829.16074951857,,
14429,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SVN,Slovenia,2021,2021,USD,US Dollar,6,Millions,,,29.114668143054,,
14588,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),LAO,Lao People's Democratic Republic,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
14594,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MWI,Malawi,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
14755,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),POL,Poland,2021,2021,USD,US Dollar,6,Millions,,,633.62256726272,,
14792,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),FLK,Other territories,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
14814,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SYR,Syrian Arab Republic,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
14971,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),MDV,Maldives,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
15070,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),PCN,Pitcairn,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
15080,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SGS,South Georgia & South Sandwich Islands,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
15253,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),KIR,Kiribati,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
15348,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),F98,MENA countries,2021,2021,USD,US Dollar,6,Millions,,,,d,Secondary Confidentiality
15390,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BHR,Bahrain,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
15427,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),COK,Cook Islands,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
15510,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SLE,Sierra Leone,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
15650,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),GIN,Guinea,2021,2021,USD,US Dollar,6,Millions,,,,C,Non-publishable and confidential value
15653,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),SSD,South Sudan,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
15660,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),JEY,Jersey,2021,2021,USD,US Dollar,6,Millions,,,209697.0389271,,
15700,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),VCT,Saint Vincent and the Grenadines,2021,2021,USD,US Dollar,6,Millions,,,32.012429023384,,
15792,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),PER,Peru,2021,2021,USD,US Dollar,6,Millions,,,5.6083567248968,,
15869,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),NRU,Nauru,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
15888,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),BES,"Bonaire, Saint Eustatius and Saba",2021,2021,USD,US Dollar,6,Millions,,,1.2709879298487,,
15900,GBR,United Kingdom,USD,US Dollar,DI,Directional principle: Inward,LE_FA_F,FDI positions -Total,ALL,All resident units,NET,Net ,IMC,Immediate counterpart (Immediate investor or immediate host),XKO,Kosovo,2021,2021,USD,US Dollar,6,Millions,,,0.0,,
