COU,Partner country/territory,COUNTERPART_AREA,Year,Value
GBR,Yemen,YEM,2021,-0.88093941127923
GBR,Angola,AGO,2021,-0.92833264099037
GBR,Serbia,SRB,2021,-0.96653638514443
GBR,Sri Lanka,LKA,2021,-0.97600663686382
GBR,Angola,AGO,2021,-1.0029978638239
GBR,Jordan,JOR,2021,-1.1074305502063
GBR,Oman,OMN,2021,-1.2242270096286
GBR,Romania,ROM,2021,-1.2892718321871
GBR,Slovakia,SVK,2021,-1.4555479312242
GBR,Liberia,LBR,2021,-1.5029080206327
GBR,Morocco,MAR,2021,-1.5157911114168
GBR,Saint Lucia,LCA,2021,-1.6250322475928
GBR,Serbia,SRB,2021,-1.629079130674
GBR,Chile,CHL,2021,-1.6401323617607
GBR,Guatemala,GTM,2021,-1.7804323906465
GBR,Angola,AGO,2021,-1.9313305048143
GBR,Morocco,MAR,2021,-2.0519206574966
GBR,Anguilla,AIA,2021,-2.0762403259972
GBR,Jordan,JOR,2021,-2.1521530646492
GBR,Indonesia,IDN,2021,-2.2506025337001
GBR,Saint Vincent and the Grenadines,VCT,2021,-2.3143241196699
GBR,Liberia,LBR,2021,-2.3183910481431
GBR,Yemen,YEM,2021,-2.3692587015131
GBR,Lithuania,LTU,2021,-2.4138585488308
GBR,Serbia,SRB,2021,-2.5956155158184
GBR,Estonia,EST,2021,-2.6108603548831
GBR,Anguilla,AIA,2021,-2.6763510618982
GBR,Viet Nam,VNM,2021,-2.7727656616231
GBR,Marshall Islands,MHL,2021,-3.081535696011
GBR,Lebanon,LBN,2021,-3.2341264099037
GBR,Yemen,YEM,2021,-3.2501981141678
GBR,Jordan,JOR,2021,-3.2595836162311
GBR,Sri Lanka,LKA,2021,-3.307982914718
GBR,Viet Nam,VNM,2021,-3.3395136574966
GBR,Northern Africa,F4,2021,-3.3722450233838
GBR,ODA recipients-Oceania,R255,2021,-3.6351244924347
GBR,Liberia,LBR,2021,-3.8212990701513
