latitude,longitude,accessibility_type_group_text
51.64363,-0.154703,Private
51.64363,-0.154703,Private
51.64363,-0.154703,Private
51.64363,-0.154703,Private
51.64363,-0.154703,Public Access
53.01519,-1.159598,Private
53.01519,-1.159598,Public Access
53.01519,-1.159598,Private
53.01519,-1.159598,Private
53.01519,-1.159598,Public Access
53.01519,-1.159598,Public Access
53.01519,-1.159598,Private
53.01519,-1.159598,Private
53.88797,-2.75501,Public Access
53.88797,-2.75501,Public Access
53.88797,-2.75501,Public Access
51.77524,0.09298404,Public Access
51.77524,0.09298404,Public Access
51.77524,0.09298404,Public Access
51.77524,0.09298404,Public Access
51.77524,0.09298404,Public Access
51.77524,0.09298404,Public Access
54.96651,-1.407068,Public Access
52.93599,-1.131837,Public Access
51.10043,-0.633592,Public Access
51.88453,-0.4097529,Public Access
51.46011,0.1182294,Public Access
51.88453,-0.4097529,Public Access
52.65333,-1.291282,Public Access
53.5879,-2.251632,Private
51.6279,-0.2584735,Private
53.60053,-0.666864,Private
50.80029,-1.13623,Public Access
51.54047,-0.3670538,Public Access
52.26009,-0.8477244,Public Access
53.33252,-2.405707,Public Access
52.7344,-2.739555,Public Access
52.94411,-0.6296597,Public Access
53.55961,-0.6719919,Private
52.64489,1.327201,Public Access
52.91129,-1.18777,Public Access
52.43886,-1.44635,Private
53.33168,-1.649687,Private
53.10025,-2.321518,Public Access
52.43886,-1.44635,Public Access
53.5473,-0.1077214,Public Access
53.71306,-1.273511,Public Access
52.76956,-1.225696,Public Access
51.62737,-0.2564254,Private
51.92662,-1.361874,Private
51.43422,0.3849944,Public Access
51.44555,-0.9997098,Private
52.43886,-1.44635,Public Access
51.90245,-0.4147709,Private
52.64489,1.327201,Public Access
53.86903,-1.90895,Public Access
54.60605,-3.531757,Public Access
54.85954,-1.568001,Public Access
54.92468,-1.515282,Public Access
52.95889,-1.124977,Private
52.02695,-0.7898821,Public Access
51.88453,-0.4097529,Public Access
52.64489,1.327201,Public Access
51.90245,-0.4147709,Private
53.79345,-1.595567,Public Access
53.5879,-2.251632,Private
51.43422,0.3849944,Public Access
53.79345,-1.595567,Public Access
53.55961,-0.6719919,Private
54.8862,-1.368876,Public Access
51.62737,-0.2564254,Private
53.55961,-0.6719919,Private
53.0732,-2.196281,Public Access
51.43422,0.3849944,Public Access
53.48819,-2.294281,Private
51.46011,0.1182294,Public Access
53.80673,-1.557067,Public Access
51.50745,-0.1405858,Public Access
52.97485,-2.165212,Public Access
51.44555,-0.9997098,Private
53.38998,-2.142518,Private
51.44555,-0.9997098,Private
50.81169,-2.748144,Private
53.5473,-0.1077214,Public Access
53.5473,-0.1077214,Public Access
54.92468,-1.515282,Public Access
52.58295,-1.116587,Public Access
51.39072,0.54108,Public Access
51.43422,0.3849944,Public Access
52.02695,-0.7898821,Public Access
51.44555,-0.9997098,Private
53.86903,-1.90895,Private
53.51207,-2.297546,Private
51.33955,1.403743,Public Access
52.64489,1.327201,Public Access
51.65622,-0.1700618,Private
53.55961,-0.6719919,Public Access
53.5879,-2.251632,Private
51.43422,0.3849944,Private
51.43422,0.3849944,Public Access
52.5008,-1.921946,Public Access
53.40915,-1.314924,Private
51.65622,-0.1700618,Private
50.34911,-4.778408,Private
51.43422,0.3849944,Public Access
53.43311,-2.872201,Public Access
52.95889,-1.124977,Public Access
53.76505,-0.3868604,Public Access
53.55961,-0.6719919,Private
51.36803,-0.1614511,Public Access
54.6035,-1.271056,Public Access
53.10025,-2.321518,Public Access
51.58918,-0.2471941,Private
53.55961,-0.6719919,Public Access
53.0732,-2.196281,Public Access
52.02695,-0.7898821,Public Access
53.0732,-2.196281,Public Access
52.64489,1.327201,Public Access
52.64489,1.327201,Public Access
52.43886,-1.44635,Public Access
53.5879,-2.251632,Private
52.62644,1.294432,Public Access
51.90245,-0.4147709,Private
52.62644,1.294432,Public Access
51.65622,-0.1700618,Private
53.43748,-2.195513,Public Access
53.5473,-0.1077214,Private
51.59022,-0.264523,Public Access
51.59022,-0.264523,Private
53.14843,-1.167677,Public Access
51.50508,-2.656577,Public Access
53.14843,-1.167677,Private
53.14843,-1.167677,Public Access
53.14843,-1.167677,Public Access
53.14843,-1.167677,Public Access
