LSOA21CD,LSOA21NM,LAD24CD,LAD24NM,imd_rank,imd_decile,population,rurality_score,pct_rural,dominant_ruc,urban_rural_flag,town,dist_to_centre_km,dist_to_coast_km,coastal
E01027867,Scarborough 011E,E06000065,North Yorkshire,27044,9,1448,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,2.38076596473955,0.8131349169892977,Coastal (≤5 km)
E01027868,Scarborough 010E,E06000065,North Yorkshire,13138,4,2294,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,1.3267536028830762,0.8645528095065252,Coastal (≤5 km)
E01027871,Scarborough 001E,E06000065,North Yorkshire,17564,6,1574,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,27.97280684584918,0.5348864230295122,Coastal (≤5 km)
E01027872,Scarborough 007C,E06000065,North Yorkshire,4843,2,1362,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,1.7166659037189222,1.4704632681056033,Coastal (≤5 km)
E01027873,Scarborough 009F,E06000065,North Yorkshire,22418,7,1405,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,2.5589656256364903,2.968221165331435,Coastal (≤5 km)
E01027874,Scarborough 007D,E06000065,North Yorkshire,462,1,1830,20.0,0.0,Urban: Further from a major town or city,Urban,Scarborough,2.106696917956245,1.426066688390142,Coastal (≤5 km)
E01027875,Selby 002A,E06000065,North Yorkshire,23005,7,2078,65.0,100.0,Smaller rural: Nearer to a major town or city,Rural,Selby,14.44988564074339,3.7402503240793523,Coastal (≤5 km)
E01027876,Selby 003A,E06000065,North Yorkshire,25706,8,1600,0.0,0.0,Urban: Nearer to a major town or city,Urban,Selby,3.0442698600922067,0.6609758046188783,Coastal (≤5 km)
E01027877,Selby 003B,E06000065,North Yorkshire,23912,8,1984,0.0,0.0,Urban: Nearer to a major town or city,Urban,Selby,3.7898024651041555,0.19066007919497296,Coastal (≤5 km)
E01027878,Selby 005A,E06000065,North Yorkshire,12836,4,1244,0.0,0.0,Urban: Nearer to a major town or city,Urban,Selby,1.4229143180600536,0.4607258027210992,Coastal (≤5 km)
E01027879,Selby 007A,E06000065,North Yorkshire,31327,10,1218,0.0,0.0,Urban: Nearer to a major town or city,Urban,Selby,1.2583220941954656,1.673783045254721,Coastal (≤5 km)
E01027880,Selby 007B,E06000065,North Yorkshire,31957,10,1432,20.0,0.0,Urban: Further from a major town or city,Urban,Selby,2.4142803987634878,2.825123472891467,Coastal (≤5 km)
E01027881,Selby 006A,E06000065,North Yorkshire,17619,6,1970,20.0,0.0,Urban: Further from a major town or city,Urban,Selby,2.7706682335653947,3.0672418799367023,Coastal (≤5 km)
E01027882,Selby 007C,E06000065,North Yorkshire,28671,9,1809,48.0,40.0,Smaller rural: Further from a major town or city,Urban,Selby,3.5472500288360007,0.7009597865719904,Coastal (≤5 km)
E01027883,Selby 008A,E06000065,North Yorkshire,20344,7,1036,85.0,100.0,Larger rural: Further from a major town or city,Rural,Selby,6.400989019339425,3.065399812791795,Coastal (≤5 km)
E01027884,Selby 008B,E06000065,North Yorkshire,18084,6,1685,88.0,100.0,Larger rural: Further from a major town or city,Rural,Selby,9.600183570874934,0.9168726458067757,Coastal (≤5 km)
E01027885,Selby 008C,E06000065,North Yorkshire,26036,8,1968,80.0,100.0,Larger rural: Further from a major town or city,Rural,Selby,9.219315099097523,0.6696342261749939,Coastal (≤5 km)
E01027886,Selby 002B,E06000065,North Yorkshire,18956,6,1421,56.0,100.0,Larger rural: Nearer to a major town or city,Rural,Selby,5.521639811012884,2.861031336613926,Coastal (≤5 km)
E01027887,Selby 002C,E06000065,North Yorkshire,22888,7,1560,59.0,100.0,Smaller rural: Nearer to a major town or city,Rural,Selby,3.8377075873705544,0.6827365964100611,Coastal (≤5 km)
E01027888,Selby 002D,E06000065,North Yorkshire,25214,8,2014,62.5,100.0,Smaller rural: Nearer to a major town or city,Rural,Selby,9.321456964413056,2.7243199296603358,Coastal (≤5 km)
E01027889,Selby 010A,E06000065,North Yorkshire,13119,4,1799,59.0,100.0,Smaller rural: Nearer to a major town or city,Rural,Selby,9.658693775270061,2.926004569926428,Coastal (≤5 km)
