district,LAD25CD,LAD25NM,msa_name
B69,E08000028,Sandwell,West Midlands
YO12,E06000065,North Yorkshire,York & North Yorkshire
B29,E08000025,Birmingham,West Midlands
RH4,E07000210,,
EX17,E07000042,Mid Devon,Devon and Torbay
LN5,E07000138,Lincoln,Greater Lincolnshire
ME5,E06000035,,
SS0,E06000033,Southend-on-Sea,Greater Essex
DT1,E06000059,,
WV6,E08000031,Wolverhampton,West Midlands
WD2,E07000103,,
M11,E08000003,Manchester,Greater Manchester
SK17,E07000037,High Peak,East Midlands
LE16,E07000131,,
LU5,E06000056,,
SL7,E06000060,,
TR14,E06000052,,
N19,E09000019,,
SY11,E06000051,,
WA3,E06000007,Warrington,Cheshire & Warrington
HP21,E06000060,,
PL5,E06000026,,
DE24,E06000015,Derby,East Midlands
SE25,E09000008,,
HP5,E06000060,,
M29,E08000010,Wigan,Greater Manchester
W13,E09000009,,
L39,E07000127,West Lancashire,Lancashire
SO9,E06000045,Southampton,Hampshire & Solent
HD6,E08000033,Calderdale,West Yorkshire
AL3,E07000240,,
TQ7,E07000044,South Hams,Devon and Torbay
M10,E08000003,Manchester,Greater Manchester
NN7,E06000062,,
BH25,E07000091,New Forest,Hampshire & Solent
CH43,E08000015,Wirral,Liverpool City Region
CH66,E06000050,Cheshire West and Chester,Cheshire & Warrington
L3,E08000012,Liverpool,Liverpool City Region
S11,E08000019,,
TS3,E06000002,Middlesbrough,Tees Valley
