typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,208,DNK,Denmark,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16394.566,True,-1,N/A,0.0,False,16394.566,True,0.0,False,166381.0,,166381.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,218,ECU,Ecuador,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,682.659,True,-1,N/A,0.0,False,682.659,True,0.0,False,6928.0,,6928.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,251,FRA,France,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3128.527,True,-1,N/A,0.0,False,3128.527,True,0.0,False,31750.0,,31750.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,998311.515,True,-1,N/A,0.0,False,998311.515,True,0.0,False,10131410.0,,10131410.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2973.727,True,-1,N/A,0.0,False,2973.727,True,0.0,False,30179.0,,30179.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,348,HUN,Hungary,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,495.342,True,-1,N/A,0.0,False,495.342,True,0.0,False,5027.0,,5027.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,380,ITA,Italy,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,650924.893,True,-1,N/A,0.0,False,650924.893,True,0.0,False,6605941.0,,6605941.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,314474.123,True,-1,N/A,0.0,False,314474.123,True,0.0,False,3191455.0,,3191455.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,690032.467,True,-1,N/A,0.0,False,690032.467,True,0.0,False,7002826.0,,7002826.0,6,True,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,470,MLT,Malta,0,W00,World,H4,HS,True,845090,Washing machines; parts for household or laundry-type,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,237.867,True,-1,N/A,0.0,False,237.867,True,0.0,False,2414.0,,2414.0,6,True,False
