Date,Value,Series,Date Label
2007-01-01,47,Discouraged workers,2007 Q1
2007-04-01,40,Discouraged workers,2007 Q2
2007-07-01,45,Discouraged workers,2007 Q3
2007-10-01,39,Discouraged workers,2007 Q4
2008-01-01,48,Discouraged workers,2008 Q1
2008-04-01,40,Discouraged workers,2008 Q2
2008-07-01,43,Discouraged workers,2008 Q3
2008-10-01,56,Discouraged workers,2008 Q4
2009-01-01,60,Discouraged workers,2009 Q1
2009-04-01,67,Discouraged workers,2009 Q2
2009-07-01,85,Discouraged workers,2009 Q3
2009-10-01,88,Discouraged workers,2009 Q4
2010-01-01,71,Discouraged workers,2010 Q1
2010-04-01,70,Discouraged workers,2010 Q2
2010-07-01,71,Discouraged workers,2010 Q3
2010-10-01,82,Discouraged workers,2010 Q4
2011-01-01,86,Discouraged workers,2011 Q1
2011-04-01,78,Discouraged workers,2011 Q2
2011-07-01,73,Discouraged workers,2011 Q3
2011-10-01,70,Discouraged workers,2011 Q4
2012-01-01,89,Discouraged workers,2012 Q1
2012-04-01,78,Discouraged workers,2012 Q2
2012-07-01,72,Discouraged workers,2012 Q3
2012-10-01,67,Discouraged workers,2012 Q4
2013-01-01,75,Discouraged workers,2013 Q1
2013-04-01,58,Discouraged workers,2013 Q2
2013-07-01,56,Discouraged workers,2013 Q3
2013-10-01,48,Discouraged workers,2013 Q4
2014-01-01,41,Discouraged workers,2014 Q1
2014-04-01,40,Discouraged workers,2014 Q2
2014-07-01,45,Discouraged workers,2014 Q3
2014-10-01,46,Discouraged workers,2014 Q4
2015-01-01,42,Discouraged workers,2015 Q1
2015-04-01,38,Discouraged workers,2015 Q2
2015-07-01,39,Discouraged workers,2015 Q3
2015-10-01,34,Discouraged workers,2015 Q4
2016-01-01,27,Discouraged workers,2016 Q1
2016-04-01,34,Discouraged workers,2016 Q2
2016-07-01,31,Discouraged workers,2016 Q3
2016-10-01,35,Discouraged workers,2016 Q4
2017-01-01,38,Discouraged workers,2017 Q1
2017-04-01,29,Discouraged workers,2017 Q2
2017-07-01,38,Discouraged workers,2017 Q3
2017-10-01,38,Discouraged workers,2017 Q4
2018-01-01,34,Discouraged workers,2018 Q1
2018-04-01,27,Discouraged workers,2018 Q2
2018-07-01,33,Discouraged workers,2018 Q3
2018-10-01,33,Discouraged workers,2018 Q4
2019-01-01,34,Discouraged workers,2019 Q1
2019-04-01,36,Discouraged workers,2019 Q2
2019-07-01,34,Discouraged workers,2019 Q3
2019-10-01,33,Discouraged workers,2019 Q4
2020-01-01,37,Discouraged workers,2020 Q1
2020-04-01,58,Discouraged workers,2020 Q2
2020-07-01,61,Discouraged workers,2020 Q3
2020-10-01,74,Discouraged workers,2020 Q4
2021-01-01,81,Discouraged workers,2021 Q1
2021-04-01,60,Discouraged workers,2021 Q2
2021-07-01,37,Discouraged workers,2021 Q3
2021-10-01,24,Discouraged workers,2021 Q4
2022-01-01,20,Discouraged workers,2022 Q1
2022-04-01,18,Discouraged workers,2022 Q2
2022-07-01,18,Discouraged workers,2022 Q3
2022-10-01,31,Discouraged workers,2022 Q4
2023-01-01,31,Discouraged workers,2023 Q1
2023-04-01,24,Discouraged workers,2023 Q2
1993-04-01,806,Other,1993 Q2
1993-07-01,802,Other,1993 Q3
1993-10-01,781,Other,1993 Q4
1994-01-01,768,Other,1994 Q1
1994-04-01,753,Other,1994 Q2
1994-07-01,724,Other,1994 Q3
1994-10-01,771,Other,1994 Q4
1995-01-01,767,Other,1995 Q1
1995-04-01,764,Other,1995 Q2
1995-07-01,751,Other,1995 Q3
1995-10-01,744,Other,1995 Q4
1996-01-01,760,Other,1996 Q1
1996-04-01,774,Other,1996 Q2
1996-07-01,787,Other,1996 Q3
1996-10-01,749,Other,1996 Q4
1997-01-01,773,Other,1997 Q1
1997-04-01,795,Other,1997 Q2
1997-07-01,830,Other,1997 Q3
1997-10-01,801,Other,1997 Q4
1998-01-01,749,Other,1998 Q1
1998-04-01,800,Other,1998 Q2
1998-07-01,764,Other,1998 Q3
1998-10-01,785,Other,1998 Q4
1999-01-01,795,Other,1999 Q1
1999-04-01,812,Other,1999 Q2
1999-07-01,818,Other,1999 Q3
1999-10-01,838,Other,1999 Q4
2000-01-01,882,Other,2000 Q1
2000-04-01,877,Other,2000 Q2
2000-07-01,911,Other,2000 Q3
2000-10-01,909,Other,2000 Q4
2001-01-01,891,Other,2001 Q1
2001-04-01,849,Other,2001 Q2
2001-07-01,861,Other,2001 Q3
2001-10-01,852,Other,2001 Q4
2002-01-01,859,Other,2002 Q1
2002-04-01,870,Other,2002 Q2
