Code,Name,Borrowing,Assets,Population,Income,DebtToAssets,DebtToAssetsRank,DebtToPop,DebtToIncome,PopulationChange,Country,lad
E3732,Nuneaton & Bedworth,56705,29000,,,1.955344828,228,,,,E,E07000219
E0604,Cheshire West & Chester,240965,123875,,,1.945227043,229,,,,E,E06000050
S8701,Argyll & Bute,109377,56929,,,1.92128792,230,,,,S,S12000035
E3634,Mole Valley,102850,53899,,,1.908198668,231,,,,E,E07000210
E0901,Cumberland Council,253967,133464,,,1.90288767,232,,,,E,E06000063
E4204,Oldham,160996,86800,,,1.854792627,233,,,,E,E08000004
E0536,South Cambridgeshire,234123,129220,,,1.811817056,235,,,,E,E07000012
E2636,Norwich,206770,117345,,,1.762069112,236,,,,E,E07000148
S8801,Angus,130168,74147,,,1.755539671,237,,,,S,S12000041
E3001,Nottingham,858620,493084,,,1.741326022,238,,,,E,E06000018
E1203,Dorset UA,168416,96860,,,1.738756969,239,,,,E,E06000059
E1801,Herefordshire,120884,69700,,,1.734347202,241,,,,E,E06000019
E0601,Halton,182000,106006,,,1.71688395,242,,,,E,E06000006
E2337,Lancaster,58480,34500,,,1.695072464,244,,,,E,E07000121
N9706,Derry City and Strabane,35420,21039,,,1.683540092,245,,,,N,N09000005
E2234,Dover,87375,52065,,,1.678190723,246,,,,E,E07000108
E0531,Cambridge,213572,127439,,,1.675876302,247,,,,E,E07000008
E0402,Buckinghamshire UA,286706,171229,,,1.674400948,248,,,,E,E06000060
S8712,Renfrewshire,271186,162080,,,1.673161402,249,,,,S,S12000038
E1537,Epping Forest,293443,177274,,,1.655307603,251,,,,E,E07000072
E1635,Stroud,100717,61819,,,1.629224025,254,,,,E,E07000082
E3031,Ashfield,88309,54927,,,1.607752107,255,,,,E,E07000170
E5036,Ealing,881208,554846,,,1.588202853,256,,,,E,E09000009
E2301,Blackburn with Darwen,131228,82917,,,1.582642884,257,,,,E,E06000008
E2535,South Holland,67456,42632,,,1.582285607,259,,,,E,E07000140
E4301,Knowsley,112379,72425,,,1.551660338,261,,,,E,E08000011
E1302,Durham,411940,267048,,,1.542569126,262,,,,E,E06000047
